"RT @TrollywoodV2: Serupadi for Vijima..
#VettiKattu 
#ViswasamSecondSingle https://t.co/8Gpen7uzBb",serupadi for vijima vettikattu viswasamsecondsingle,"[serupadi,vijima,vettikattu,viswasamsecondsingle]",0.0
@milandota2 Please play in tire 1 teams.  You're one of the best position 4 dota 2 player in the world,please play in tire teams you're one of the best position dota player in the,"[play,tire,teams,position,dota,player]",0.0
"@yfchanmd @munteanua1 @thehill My Prayers have been answered, just in time for Christmas. https://t.co/WqcVYwsu45",my prayers have been answered just in time for christmas,"[prayers,answered,time,christmas]",0.0
@nikolesweetwedo Makaiboooooggggggg,,[],0.0
Mitch has him beat by one year ironically,mitch has him beat by one year,"[mitch,beat,year]",0.0
RT @OLavon314: Lil Wayne was really there for you bitches on How to Love,lil wayne was really there for you bitches on how to,"[lil,wayne,bitches]",1.0
queria beijar o menino dnv ainda esse ano mas o acontecimento dos fatos nao estao me ajudando,queria beijar o menino dnv ainda esse ano mas o acontecimento dos fatos nao estao me,"[queria,beijar,o,menino,dnv,ainda,esse,ano,mas,o,acontecimento,dos,fatos,nao,estao]",0.0
RT @BTS_twt: We met @JanetJackson https://t.co/lPi8Z0TDU5,we met,[met],0.0
RT @MariRous18: @ActualidadRT @CarlosO28859673 https://t.co/zxI6Iqi3Bl,,[],0.0
RT @antotripelli: Cande es igual a la mujer del padre!!! Como se llamaba? https://t.co/NBTYd4PpoL,cande es igual a la mujer del padre como se llamaba,"[cande,es,igual,a,la,mujer,del,padre,como,se,llamaba]",0.0
"I'll give TJ Luxmore this, he charged up the Bell Centre better than anyone else has this season.",i'll give tj luxmore this he charged up the bell centre better than anyone else has this,"[give,tj,luxmore,charged,bell,centre]",0.0
@tyrone345345 TSA accessible locks,tsa accessible,"[tsa,accessible]",0.0
RT @cuidasuavidafdp: Vontade de ficar rico do nada.,vontade de ficar rico do,"[vontade,de,ficar,rico]",0.0
RT @OhVarsity: Forward thinking to hold a State of the SEC Podcast during a basketball broadcast.,forward thinking to hold a state of the sec podcast during a basketball,"[forward,thinking,hold,a,state,sec,podcast,a,basketball]",0.0
